Date,Open,High,Low,Close,Adj Close,Volume
2019-12-02,2.000000,2.200000,2.000000,2.000000,2.000000,4321
2019-12-03,1.900000,2.100000,1.900000,2.100000,2.100000,6762
2019-12-04,2.100000,2.200000,2.000000,2.150000,2.150000,10316
2019-12-05,2.150000,2.250000,2.050000,2.150000,2.150000,2801
2019-12-06,2.050000,2.150000,2.050000,2.150000,2.150000,2021
2019-12-09,2.050000,2.150000,2.050000,2.050000,2.050000,422
2019-12-10,2.050000,2.150000,1.950000,1.950000,1.950000,5029
2019-12-11,1.900000,2.000000,1.900000,1.900000,1.900000,2442
2019-12-12,1.950000,1.950000,1.850000,1.850000,1.850000,3551
2019-12-13,1.850000,1.850000,1.800000,1.850000,1.850000,1280
2019-12-16,1.850000,1.850000,1.850000,1.850000,1.850000,2813
2019-12-17,1.850000,1.900000,1.850000,1.850000,1.850000,15603
2019-12-18,1.900000,1.900000,1.800000,1.800000,1.800000,9239
2019-12-19,1.800000,1.800000,1.800000,1.800000,1.800000,300
2019-12-20,1.800000,1.850000,1.750000,1.850000,1.850000,8222
2019-12-23,1.900000,1.900000,1.800000,1.900000,1.900000,8212
2019-12-24,1.900000,1.950000,1.850000,1.850000,1.850000,8285
2019-12-26,1.850000,1.900000,1.800000,1.850000,1.850000,10503
2019-12-27,1.850000,1.900000,1.850000,1.900000,1.900000,6365
2019-12-30,1.900000,1.950000,1.900000,1.950000,1.950000,5258
2019-12-31,1.950000,2.000000,1.900000,2.000000,2.000000,14705
